Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
582,Arturo Vidal,cl CHI,MF,Juventus,27,1987,28,23,"2,082",23.1,7,4,11,5,2,3,7,0,0.3,0.17,0.48,0.22,0.39,Matches
583,Nemanja Vidić,rs SRB,DF,Inter,32,1981,23,23,"2,049",22.8,1,0,1,1,0,0,6,1,0.04,0,0.04,0.04,0.04,Matches
584,Mattia Vitale,it ITA,MF,Juventus,16,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
585,Roberto Vitiello,it ITA,DF,Palermo,31,1983,19,17,"1,504",16.7,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
586,Paulo Vitor Barreto,br BRA,FW,Torino,29,1985,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
587,Giuseppe Vives,it ITA,MF,Torino,34,1980,28,26,"2,095",23.3,1,4,5,1,0,0,8,0,0.04,0.17,0.21,0.04,0.21,Matches
588,Emiliano Viviano,it ITA,GK,Sampdoria,28,1985,29,29,"2,540",28.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
589,Massimo Volta,it ITA,DF,Cesena,27,1987,24,19,"1,835",20.4,0,2,2,0,0,0,8,1,0,0.1,0.1,0,0.1,Matches
590,Stefan de Vrij,nl NED,DF,Lazio,22,1992,30,29,"2,531",28.1,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
591,Šime Vrsaljko,hr CRO,"DF,MF",Sassuolo,22,1992,21,19,"1,573",17.5,0,3,3,0,0,0,6,1,0,0.17,0.17,0,0.17,Matches
592,Molla Wagué,ml MLI,DF,Udinese,23,1991,10,10,892,9.9,2,0,2,2,0,0,4,0,0.2,0,0.2,0.2,0.2,Matches
593,Silvan Widmer,ch SUI,"DF,MF",Udinese,21,1993,36,35,"3,007",33.4,2,4,6,2,0,0,5,0,0.06,0.12,0.18,0.06,0.18,Matches
594,Paweł Wszołek,pl POL,MF,Sampdoria,22,1992,6,2,230,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
595,Mapou Yanga-Mbiwa,fr FRA,DF,Roma,25,1989,28,22,"2,100",23.3,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches
596,Cristian Zaccardo,it ITA,DF,Milan,32,1981,3,3,210,2.3,1,1,2,1,0,0,0,1,0.43,0.43,0.86,0.43,0.86,Matches
597,Alexis Zapata,co COL,MF,Udinese,19,1995,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
598,Cristián Zapata,co COL,DF,Milan,27,1986,12,8,868,9.6,0,1,1,0,0,0,1,1,0,0.1,0.1,0,0.1,Matches
599,Duván Zapata,co COL,FW,Napoli,23,1991,21,6,623,6.9,6,1,7,6,0,0,2,0,0.87,0.14,1.01,0.87,1.01,Matches
600,Davide Zappacosta,it ITA,"DF,MF",Atalanta,22,1992,29,27,"2,254",25,3,1,4,3,0,0,4,0,0.12,0.04,0.16,0.12,0.16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
601,Simone Zaza,it ITA,FW,Sassuolo,23,1991,31,29,"2,584",28.7,11,2,13,10,1,2,11,0,0.38,0.07,0.45,0.35,0.42,Matches
602,Piotr Zieliński,pl POL,MF,Empoli,20,1994,28,7,"1,050",11.7,0,3,3,0,0,0,3,0,0,0.26,0.26,0,0.26,Matches
603,Ervin Zukanović,ba BIH,DF,Chievo,27,1987,29,28,"2,440",27.1,2,1,3,2,0,0,7,0,0.07,0.04,0.11,0.07,0.11,Matches
604,Juan Zúñiga,co COL,"DF,MF",Napoli,28,1985,7,6,522,5.8,0,2,2,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
605,Filip Đorđević,rs SRB,FW,Lazio,26,1987,24,15,"1,475",16.4,8,2,10,8,0,0,2,0,0.49,0.12,0.61,0.49,0.61,Matches
606,Luka Đorđević,me MNE,FW,Sampdoria,20,1994,3,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
607,Milan Đurić,ba BIH,FW,Cesena,24,1990,28,17,"1,589",17.7,2,2,4,2,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
608,Geremy Broh,,,Parma,,,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
609,Mirko Esposito,,,Parma,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
